Coaster_Name,Location,Manufacturer,Type_Main,Year_Introduced,Latitude,Longitude,Speed_mph,Height_ft,Inversions,Gforce,Opening_Date
Ultra Twister (Nagashima Spa Land),Nagashima Spa Land,TOGO,Steel,1984,35.0285,136.7326,49,100,3,4.1702354581664025,1989-01-01
La Vibora,Other,Intamin,Steel,1984,39.203500466509226,-47.83615756764982,32,51,0,3.039296723231967,1999-01-01
XLR-8,Six Flags AstroWorld,Arrow Dynamics,Steel,1984,29.6748,-95.4056,34,56,0,3.0052377402804353,1984-05-12
The Bush Beast,Wonderland Sydney,Taft Broadcasting,Wood,1985,-33.8008,150.8512,55,90,0,3.6587488497794496,1985-12-07
Disaster Transport,Cedar Point,Intamin,Steel,1985,41.4811,-82.6794,40,72,0,2.7,1985-01-01
Flashback (Six Flags Magic Mountain),Other,Intamin,Steel,1985,39.093425796813875,-47.27042104078237,35,59,0,3.0,1999-01-01
Freestyle (roller coaster),Other,TOGO,Steel,1985,38.851842471237156,-47.777534413081185,51,87,1,3.739851022343089,1999-01-01
Kikkerachtbaan,Duinrell,Zierer,Steel,1985,52.1466,4.379,22,26,0,2.8386104497261577,1985-01-01
Klondike Gold Mine (roller coaster),Other,Pinfari,Steel,1985,38.743803403917966,-45.939309072843116,47,91,1,3.6374117064182023,1999-01-01
Shaman (roller coaster),Gardaland,Vekoma,Steel,1985,45.4567,10.7072,43,82,4,3.973549053686483,1985-01-01
Mindbender (Galaxyland),Galaxyland,Anton Schwarzkopf,Steel,1985,53.5236,-113.6203,60,145,3,5.2,1985-12-20
Le Monstre,Other,Martin & Vleminckx,Wood,1985,45.525,-73.5333,59,125,0,3.934210862597741,1985-07-20
Phoenix (roller coaster),Knoebels Amusement Resort,Philadelphia Toboggan Coasters,Wood,1985,40.8783,-76.5064,45,86,0,3.42713578383691,1985-06-15
Steel First,Other,Allan Herschell Company,Steel,1985,38.81058408999444,-46.583989123224,45,87,0,3.471874674518613,1985-01-01
Swiss Bob,Efteling,Intamin,Steel,1985,51.648,5.0474,37,66,0,3.324906875240778,1985-04-04
Texas Tornado (roller coaster),Wonderland Park (Texas),Hopkins Rides,Steel,1985,35.2437,-101.8321,48,96,2,3.7285020220499874,1985-01-01
The Beastie (Wonderland Sydney),"Eastern Creek, New South Wales, New South Wales, Australia",Vekoma,Other,1985,-33.8012,150.8475,48,97,0,3.4726166468228534,1999-01-01
Wild Mouse (Idlewild),Idlewild and Soak Zone,Vekoma,Steel,1985,40.2598,-79.2799,30,45,0,2.9295373881025704,1985-01-01
Eureka Mountain Mine Ride,Dreamworld,HyFab,Steel,1986,-27.8626,153.3158,29,39,0,2.858200513421867,1986-12-11
The Grizzly,California's Great America,Kings Island,Wood,1986,37.393,-121.9714,55,112,0,3.6719071917742703,1986-01-01
Shockwave (Kings Dominion),Kings Dominion,TOGO,Steel,1986,37.8386,-77.4447,50,99,1,3.681305837483311,1986-03-23
Silver Bullet (Frontier City),Other,Anton Schwarzkopf,Steel,1986,38.68664358702884,-45.405115883190774,47,94,1,3.6521598785688596,1999-01-01
Ultra Twister (Six Flags),Other,TOGO,Steel,1986,38.72824007447882,-44.47687120779483,44,83,3,3.7630168096089527,1999-01-01
The Bat (Canada's Wonderland),Other,Vekoma,Other,1987,43.8442,-79.5414,45,88,0,3.434668337587649,1999-01-01
Big Thunder Mountain Railroad (Tokyo Disneyland),Other,"Arrow Development (California and Florida)Dynamic Structures (2014 California rebuild)Vekoma (Paris, Tokyo)",Steel,1987,39.01425434815988,-46.19309518837531,35,59,0,3.1054341972935724,1999-01-01
Canobie Corkscrew,Canobie Lake Park,Arrow Development,Steel,1987,42.7935,-71.2499,45,86,2,3.654428315206644,1975-01-01
Dreamcatcher (roller coaster),Bobbejaanland,Vekoma,Steel,1987,51.1993,4.909,43,82,0,3.4930850487851437,1987-01-01
Iron Dragon (roller coaster),Cedar Point,Arrow Dynamics,Steel,1987,41.4822,-82.6852,40,73,0,3.2365749108539106,1987-06-11
Knightmare (Camelot),Other,Zierer,Other,1987,38.8120341338892,-44.66784740470234,40,74,0,5.0,1999-01-01
Lisebergbanan,Liseberg,Zierer,Steel,1987,57.695,11.9925,49,147,0,3.0,1987-04-18
Raptor Attack,Lightwater Valley,Anton Schwarzkopf,Steel,1987,54.1739,-1.5687,40,73,0,3.3951124773482775,1987-04-02
Runaway Train (roller coaster),Chessington World of Adventures,Mack Rides,Steel,1987,51.3494,-0.318,22,15,0,2.787159600319086,1987-06-07
Scorpion Express,Chessington World of Adventures,Mack Rides,Steel,1987,51.3494,-0.318,22,15,0,2.787159600319086,1987-06-07
Skyliner (roller coaster),Other,Philadelphia Toboggan Coasters,Wood,1987,38.88320624487777,-45.91553326887049,40,73,0,3.2689192420204662,1999-01-01
Vortex (Kings Island),Kings Island,Arrow Dynamics,Steel,1987,39.3407,-84.2642,55,112,6,3.9,1987-04-11
Woodstock's Express (California's Great America),Other,Intamin,Steel,1987,40.5793,-75.5326,45,88,0,3.4291996943586085,1999-01-01
Avalanche (Blackpool Pleasure Beach),Blackpool Pleasure Beach,Mack Rides,Steel,1988,53.7901,-3.0559,45,87,0,3.544184724706554,1988-06-22
Avalanche (Kings Dominion),Kings Dominion,Mack Rides,Steel,1988,37.8401,-77.4407,41,76,0,3.4,1988-03-26
Bandit (Yomiuriland),Yomiuriland,TOGO,Steel,1988,35.6255,139.5181,68,151,0,4.394493223320879,1988-03-01
Beast (Alton Towers),"Alton, Staffordshire, England",Vekoma,Other,1988,52.9875,-1.8908,45,87,0,3.5427997299877987,1999-01-01
Boomerang (Six Flags México),Other,Vekoma,Steel,1988,19.2934,-99.2078,47,92,3,5.2,1999-01-01
Cobra (La Ronde),Other,Intamin,Steel,1988,38.60765682531082,-44.409663254696056,48,95,1,3.637396911841588,1999-01-01
Crazy Bats,Phantasialand,Vekoma,Steel,1988,50.801,6.878,28,44,0,3.014768308068085,1988-04-01
Jetline,Gröna Lund,Anton Schwarzkopf,Steel,1988,59.3231,18.0956,55,117,0,4.5,1988-01-01
Ninja (Six Flags Magic Mountain),Six Flags Magic Mountain,Arrow Dynamics,Steel,1988,34.4222,-118.5983,55,113,0,2.9,1988-05-21
Raging Wolf Bobs,Geauga Lake,Dinn Corporation,Wood,1988,41.3525,-81.3722,50,100,0,3.554017387525022,1988-05-28
Shockwave (Six Flags Great America),Six Flags Great America,Arrow Dynamics,Steel,1988,42.3712,-87.9343,65,140,7,4.861164173721278,1988-06-03
Thunderbolt Express,Other,Arrow Dynamics,Steel,1988,38.66745435874514,-44.244991935769576,45,87,1,4.0,1999-01-01
Wipeout (roller coaster),Pleasurewood Hills,Vekoma,Steel,1988,52.5075,1.7434,50,100,6,4.409701441108773,2007-01-01
Wolverine Wildcat,Michigan's Adventure,Dinn Corporation,Wood,1988,43.3436,-86.2775,55,113,0,3.721251414464845,1988-05-18
Anaconda (Walygator Parc),Walygator Parc,William Cobb,Other,1989,38.65206294683383,-44.59179415981134,45,89,0,3.4429915033686775,1989-01-01
Eurosat - CanCan Coaster,Europa-Park,Mack Rides,Steel,1989,38.604658178259804,-42.149224488454706,37,83,0,4.0,1989-01-01
Excalibur (Valleyfair),Valleyfair,Arrow Dynamics,Steel,1989,44.7995,-93.462,54,112,0,3.6,1989-01-01
Flashback (Six Flags Over Texas),Other,Vekoma,Steel,1989,38.482635131339485,-41.845790569670726,47,93,3,5.2,1999-01-01
Goudurix,Parc Astérix,Vekoma,Steel,1989,49.1314,2.5714,55,118,7,3.9,1989-01-01
Great American Scream Machine (Six Flags Great Adventure),Six Flags Great Adventure,Arrow Dynamics,Steel,1989,40.1391,-74.4381,68,148,7,3.8,1989-04-15
Hercules (roller coaster),Dorney Park & Wildwater Kingdom,Dinn Corporation,Wood,1989,40.5811,-75.5322,65,140,0,4.0376879003675725,1989-05-06
Magnum XL-200,Cedar Point,Arrow Dynamics,Steel,1989,41.4853,-82.6861,72,159,0,4.262556226976741,1989-05-06
Ninja (Six Flags St. Louis),Other,Vekoma,Steel,1989,38.5149,-90.6739,54,112,4,4.140158957472362,1999-01-01
Olympia Looping,Oktoberfest,BHS,Steel,1989,48.131,11.549,52,106,5,5.2,1989-09-17
Timber Wolf (roller coaster),Worlds of Fun,Dinn Corporation,Wood,1989,39.1728,-94.4892,53,108,0,3.6149648679357433,1989-04-01
Vekoma Illusion,Bobbejaanland,Vekoma,Steel,1989,51.1993,4.909,31,91,0,3.1490155817489622,1989-06-15
